rank,Youtuber,subscribers,video views,video count,category,started,subscribers (in millions),video views(in millions)
187,Mad 4 Music,"7,490,000.00","3,481,019,107.00","2,840.00",Music,2011,7.49,34810.19107
188,News Tak,"9,350,000.00","3,478,904,451.00","39,947.00",News & Politics,2017,9.35,34789.04451
189,Fine Digital Haryanvi,"6,080,000.00","3,440,860,963.00","2,210.00",,2018,6.08,34408.60963
190,Saregama Hum Bhojpuri,"9,520,000.00","3,440,491,307.00",837.00,Music,2019,9.52,34404.91307
191,shuaib011,"8,610,000.00","3,437,879,823.00",454.00,Entertainment,2020,8.61,34378.79823
192,Pen Bhakti,"6,660,000.00","3,414,386,252.00","3,337.00",Music,2019,6.66,34143.86252
193,Pen Multiplex,"11,200,000.00","3,404,088,282.00","2,814.00",Film & Animation,2015,11.2,34040.88282
194,Rachit Rojha,"11,400,000.00","3,395,698,111.00",165.00,Entertainment,2016,11.4,33956.98111
195,BakLol Video,"11,400,000.00","3,388,955,222.00",272.00,Entertainment,2016,11.4,33889.55222
196,BhavaniHD Movies,"7,240,000.00","3,363,915,157.00","31,672.00",Entertainment,2016,7.24,33639.15157
197,Varsha Singh Rajput,"5,100,000.00","3,333,960,417.00",412.00,Entertainment,2014,5.1,33339.60417
198,Pjdivya Official,"6,260,000.00","3,323,025,445.00",956.00,People & Blogs,2014,6.26,33230.25445
199,Flying Beast,"7,800,000.00","3,320,532,013.00","1,301.00",People & Blogs,2017,7.8,33205.32013
200,Anaysa,"13,300,000.00","3,286,969,554.00",514.00,Howto & Style,2012,13.3,32869.69554
201,Adaah Queen,"7,010,000.00","3,267,752,607.00",357.00,Entertainment,2020,7.01,32677.52607
202,Ayan Mechanic,"2,580,000.00","3,258,947,203.00",893.00,Science & Technology,2020,2.58,32589.47203
203,Zee Music Marathi,"6,170,000.00","3,247,590,641.00","2,637.00",Music,2014,6.17,32475.90641
204,Technical Guruji,"22,800,000.00","3,243,957,391.00","4,816.00",Science & Technology,2015,22.8,32439.57391
205,Emiway Bantai,"18,700,000.00","3,243,498,549.00",215.00,Music,2013,18.7,32434.98549
206,Muzik247,"5,560,000.00","3,239,516,817.00","2,146.00",Music,2014,5.56,32395.16817
207,The Live Tv,"6,900,000.00","3,179,011,159.00","8,328.00",News & Politics,2018,6.9,31790.11159
208,Sanjoy Das Official,"11,400,000.00","3,175,700,928.00","1,633.00",Entertainment,2015,11.4,31757.00928
209,Geetha Arts,"5,560,000.00","3,168,745,523.00","3,458.00",Entertainment,2008,5.56,31687.45523
210,Awadhesh Premi Official,"8,130,000.00","3,143,857,258.00","1,195.00",,2018,8.13,31438.57258
211,RDC Rajasthani,"7,730,000.00","3,128,423,929.00","13,375.00",Music,2013,7.73,31284.23929
212,CarryMinati,"37,600,000.00","3,112,867,105.00",180.00,Comedy,2014,37.6,31128.67105
213,Bihari Ladka,"4,730,000.00","3,107,332,438.00",383.00,Gaming,2017,4.73,31073.32438
214,Hindustan Times,"5,100,000.00","3,105,594,615.00","42,318.00",News & Politics,2005,5.1,31055.94615
215,Nav Haryanvi,"9,000,000.00","3,091,173,127.00",746.00,Music,2017,9,30911.73127
216,Angle Music Official Channel,"8,070,000.00","3,072,647,438.00","13,842.00",Entertainment,2014,8.07,30726.47438
217,UP Tak,"6,720,000.00","3,017,857,324.00","30,191.00",News & Politics,2018,6.72,30178.57324
218,Wow Kidz Comedy,"8,760,000.00","3,016,011,327.00","1,653.00",Film & Animation,2017,8.76,30160.11327
219,Nannu and Chunnu,"3,150,000.00","3,001,773,017.00","2,528.00",Entertainment,2017,3.15,30017.73017
220,Sonotek Punjabi,"8,240,000.00","2,991,615,183.00","1,435.00",People & Blogs,2017,8.24,29916.15183
221,Gem Tunes Haryanvi,"2,220,000.00","2,990,704,370.00",610.00,Entertainment,2017,2.22,29907.0437
222,The noodles girl,"6,010,000.00","2,976,805,945.00",432.00,People & Blogs,2020,6.01,29768.05945
223,Round2hell,"29,000,000.00","2,960,712,804.00",66.00,Comedy,2016,29,29607.12804
224,Ambey Bhakti,"9,770,000.00","2,946,196,222.00","5,787.00",Music,2013,9.77,29461.96222
225,hmtv News,"3,600,000.00","2,942,505,078.00","206,488.00",News & Politics,2014,3.6,29425.05078
226,Humble Music,"8,270,000.00","2,935,197,474.00",566.00,Music,2017,8.27,29351.97474
227,wifistudy,"15,800,000.00","2,931,999,875.00","49,081.00",Education,2014,15.8,29319.99875
228,Sony Marathi,"3,340,000.00","2,919,935,634.00","31,550.00",Entertainment,2018,3.34,29199.35634
229,Frostbite Gaming,"5,010,000.00","2,911,277,183.00","1,436.00",,2014,5.01,29112.77183
230,Sanjivani Music,"6,600,000.00","2,903,002,874.00","16,913.00",Music,2011,6.6,29030.02874
231,CHINNU_6542,"3,500,000.00","2,897,613,581.00",450.00,Entertainment,2015,3.5,28976.13581
232,Triggered Insaan,"17,500,000.00","2,896,378,281.00",279.00,Comedy,2014,17.5,28963.78281
233,Kia India,"415,000.00","2,851,766,708.00",435.00,,2017,0.415,28517.66708
234,Eskay Movies,"5,420,000.00","2,821,635,278.00","2,340.00",Film & Animation,2016,5.42,28216.35278
235,Akash Parihar,"5,620,000.00","2,820,188,978.00",281.00,People & Blogs,2021,5.62,28201.88978
236,Mythpat,"13,000,000.00","2,802,421,102.00",338.00,Entertainment,2018,13,28024.21102
237,Ayush Yadav,"4,700,000.00","2,801,125,071.00",430.00,Entertainment,2014,4.7,28011.25071
238,foodies aao,"3,860,000.00","2,800,158,611.00",685.00,People & Blogs,2020,3.86,28001.58611
239,NishaMadhulika,"13,300,000.00","2,798,926,270.00","2,104.00",Howto & Style,2009,13.3,27989.2627
240,Crime Tak,"7,020,000.00","2,796,668,222.00","16,834.00",News & Politics,2018,7.02,27966.68222
241,Mahesh Chavan,"5,770,000.00","2,787,035,600.00",750.00,Entertainment,2015,5.77,27870.356
242,HD Songs Bollywood,"9,150,000.00","2,759,921,932.00",684.00,Music,2015,9.15,27599.21932
243,BabyBus - बच्चों के गीत&कार्टून एनीमेशन,"6,400,000.00","2,742,501,863.00",482.00,Education,2020,6.4,27425.01863
244,Sanjot Nagi,"5,730,000.00","2,738,844,462.00",727.00,People & Blogs,2013,5.73,27388.44462
245,WooHoo India,"5,650,000.00","2,723,011,162.00",885.00,,2019,5.65,27230.11162
246,Raghav Digital,"6,830,000.00","2,715,717,558.00",92.00,Music,2017,6.83,27157.17558
247,AS Gaming,"19,300,000.00","2,713,679,951.00","1,152.00",Gaming,2016,19.3,27136.79951
248,Zee Music South,"5,370,000.00","2,704,540,400.00","1,164.00",Music,2015,5.37,27045.404
249,Dil Raju,"4,850,000.00","2,704,078,164.00","1,989.00",Film & Animation,2007,4.85,27040.78164
250,Earth fact in हिन्दी,"3,650,000.00","2,703,249,134.00",412.00,Education,2021,3.65,27032.49134
251,Voice of Heart Music,"6,800,000.00","2,691,307,128.00","1,090.00",Music,2015,6.8,26913.07128
252,Zee Hindustan,"7,430,000.00","2,664,130,608.00","84,013.00",News & Politics,2015,7.43,26641.30608
253,Green Gold Kids,"6,520,000.00","2,662,566,754.00",716.00,Film & Animation,2015,6.52,26625.66754
254,Sports Tak,"6,500,000.00","2,656,787,010.00","28,148.00",Sports,2017,6.5,26567.8701
255,Shemaroo Bhakti,"10,600,000.00","2,614,721,036.00","3,730.00",Entertainment,2009,10.6,26147.21036
